"user" "system" "elapsed"
"pomp" 117.326 200.297 119.196
"CollocInfer" 130.3 263.763 116.883
"DTAT" 145.928 237.966 140.337
"epimdr" 70.109 166.147 64.936
"epimdr2" 94.87 179.104 94.211
"spaero" 81.271 237.995 66.466
"spatPomp" 220.175 577.669 162.434
"stops" 173.684 268.588 161.544
"circumstance" 91.42 190.449 78.815
"hte" 183.352 381.777 141.434
"panelPomp" 151.682 455.603 113.436
"phylopomp" 255.912 303.495 252.252
